"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"237351_at",-4.15665473198473,2.95655199630579,-21.2990049781465,1.36358999093759e-42,7.45542827545126e-38,86.2365966234476
"214505_s_at",-5.37346542466685,4.41011070527273,-20.6793051127979,2.22380021917977e-41,6.07931384918268e-37,83.498204986208
"89977_at",-4.36565386561142,3.11606457590909,-20.4184019662157,7.30686292190098e-41,1.33167576751645e-36,82.3304743236398
"230595_at",-3.58264338405543,2.91407675797521,-20.318512878377,1.15479849731987e-40,1.43473317031985e-36,81.8810604187832
"214582_at",-4.4090977886397,3.14658973001653,-20.2906984145277,1.31205593993585e-40,1.43473317031985e-36,81.7556887122
"223764_x_at",-3.50607290562896,2.85191547441322,-19.9863887340559,5.33731768481729e-40,4.86363074028976e-36,80.3774540433815
"219059_s_at",-4.44331503759332,3.00984852873554,-19.7856900729829,1.3551314999646e-39,1.05845449657949e-35,79.4618664703743
"235670_at",-3.58966974250453,2.95757510520661,-19.6287423562426,2.81814087726737e-39,1.92602315580742e-35,78.74220043596
"206930_at",-4.48815015292647,2.96766882066116,-19.5957168474427,3.288859693178e-39,1.99798226360563e-35,78.5903550032692
"221295_at",-3.93009694573812,3.00111955195041,-19.4875992380066,5.45853756840558e-39,2.98445541552575e-35,78.0922497736742
"222083_at",-5.1308059996957,3.12694300176033,-19.4205584352022,7.4788309435507e-39,3.71731892580577e-35,77.7826186382665
"235201_at",-2.72765178917873,2.85098438920661,-19.3774307736805,9.16095663111313e-39,4.17396086505092e-35,77.5831199751964
"235382_at",-4.14558306146833,3.0033164955124,-19.2235810254351,1.89268621983878e-38,7.96020146689888e-35,76.8694586621789
"230463_at",-3.70458784234898,2.95936227393388,-19.0193085471013,4.98322528829036e-38,1.94612744740911e-34,75.9171015353375
"223727_at",-4.43412520861086,4.11836992513223,-18.8869195009057,9.35876313984467e-38,3.41126916447338e-34,75.2969530077108
"232313_at",-3.79893174463631,5.09337377700826,-18.8542485403829,1.0937358642975e-37,3.73750052377911e-34,75.1435587961066
"206069_s_at",-3.6110060137172,2.85086704899174,-18.8248530084775,1.25854858940362e-37,4.04771436033193e-34,75.0054233680387
"239273_s_at",-3.37498223780713,2.96278552386777,-18.7829662224922,1.53749177244643e-37,4.67013125880602e-34,74.8083930834189
