"","PROBEID","SYMBOL","ENTREZID"
"1","237351_at","LINC01697","284825"
"2","214505_s_at","FHL1","2273"
"3","89977_at","ACSM5","54988"
"4","230595_at","PGM5-AS1","572558"
"5","214582_at","PDE3B","5140"
"6","223764_x_at","NIPSNAP3B","55335"
"7","219059_s_at","LYVE1","10894"
"8","235670_at","STX11","8676"
"9","206930_at","GLYAT","10249"
"10","221295_at","CIDEA","1149"
"12","235201_at","FOXP2","93986"
"13","235382_at","LVRN","206338"
"15","223727_at","KCNIP2","30819"
"16","232313_at","TMEM132C","92293"
"17","206069_s_at","ACADL","33"
"18","239273_s_at","MMP28","79148"
"20","204997_at","GPD1","2819"
"21","206262_at","ADH1C","126"
"22","206030_at","ASPA","443"
"23","230282_at","TSPAN3","10099"
"25","1563182_at","ACVR1C","130399"
"27","1555741_at","MRAP","56246"
"30","220736_at","SLC19A3","80704"
"31","220327_at","VGLL3","389136"
"32","203295_s_at","ATP1A2","477"
"34","235708_at","KLB","152831"
"35","214040_s_at","GSN","2934"
"36","218934_s_at","HSPB7","27129"
"37","238003_at","HEPACAM","220296"
"38","1558820_a_at","CCDC178","374864"
"39","230309_at","BHMT2","23743"
"40","230670_at","IGSF10","285313"
"41","206209_s_at","CA4","762"
"42","229480_at","MAGI2-AS3","100505881"
"43","208383_s_at","PCK1","5105"
"44","241866_at","SLC16A7","9194"
"45","213325_at","NECTIN3","25945"
"46","205208_at","ALDH1L1","10840"
"47","1558420_at","C14orf180","400258"
"51","1556056_at","SIK2","23235"
"52","210963_s_at","GYG2","8908"
"53","206742_at","VEGFD","2277"
"54","206742_at","PIR-FIGF","100532742"
"55","205609_at","ANGPT1","284"
"58","1553243_at","ITIH5","80760"
"59","202884_s_at","PPP2R1B","5519"
"60","231790_at","DMGDH","29958"
"61","207537_at","PFKFB1","5207"
"62","210106_at","RDH5","5959"
"63","210106_at","BLOC1S1-RDH5","100528022"
"66","239183_at","ANGPTL1","9068"
"67","228540_at","QKI","9444"
"68","228082_at","CLMP","79827"
"69","1558552_s_at","SLC66A1LP","152078"
"70","220868_s_at","SLC7A10","56301"
"71","237017_s_at","SMAD3-DT","102723493"
"73","237154_at","HSD11B1-AS1","101930114"
"74","227529_s_at","AKAP12","9590"
"76","238062_at","GPIHBP1","338328"
"77","228368_at","ARHGAP20","57569"
"79","230246_at","PLAC9","219348"
"82","230115_at","LINC02716","374387"
"83","210832_x_at","PTGER3","5733"
"84","238919_at","PCDH9","5101"
"85","219937_at","TRHDE","29953"
"86","218864_at","TNS1","7145"
"87","206955_at","AQP7","364"
"89","237248_at","PDE11A","50940"
"91","209818_s_at","HABP4","22927"
"92","231380_at","C8orf34","116328"
"94","205108_s_at","APOB","338"
"96","239523_at","TRARG1","286753"
"97","223704_s_at","DMRT2","10655"
"98","229011_at","EMP1","2012"
"99","205824_at","HSPB2","3316"
"100","233496_s_at","CFL2","1073"
"101","232187_at","PALMD","54873"
"102","203641_s_at","COBLL1","22837"
"103","235849_at","SCARA5","286133"
"105","241765_at","CPM","1368"
"106","239398_at","KLHL31","401265"
"108","243311_at","DEFB132","400830"
"109","212705_x_at","PNPLA2","57104"
"111","227058_at","MEDAG","84935"
"112","1570454_at","EIF4EBP2","1979"
"113","1552616_a_at","ACACB","32"
"114","208186_s_at","LIPE","3991"
"115","240929_at","RBPMS-AS1","100128750"
"117","222717_at","CAVIN2","8436"
"120","203435_s_at","MME","4311"
"121","1556579_s_at","MED12L","116931"
"123","220065_at","TNMD","64102"
"124","207317_s_at","CASQ2","845"
"126","217504_at","ABCA6","23460"
"128","226286_at","ELMOD3","84173"
"129","235129_at","PPP1R1A","5502"
"130","213644_at","CEP112","201134"
"131","229778_at","SPX","80763"
"132","215918_s_at","SPTBN1","6711"
"133","211792_s_at","CDKN2C","1031"
"134","207302_at","SGCG","6445"
"136","239349_at","C1QTNF7","114905"
"137","228890_at","ATOH8","84913"
"138","230438_at","TBX15","6913"
"139","228104_at","PLXNA4","91584"
"140","232331_at","PPARG","5468"
"142","1560697_at","TRHDE-AS1","283392"
"144","228802_at","RBPMS2","348093"
"146","226911_at","EGFLAM","133584"
"147","235927_at","XPO1","7514"
"148","1557832_at","LINC02996","101926960"
"149","209614_at","ADH1B","125"
"150","239982_at","CLCA4-AS1","105378828"
"152","220357_s_at","SGK2","10110"
"153","222161_at","NAALAD2","10003"
"154","227243_s_at","EBF3","253738"
"155","1555854_at","AKR1C1","1645"
"156","1555854_at","AKR1C2","1646"
"157","1559901_s_at","MIR99AHG","388815"
"158","215039_at","LINC01140","339524"
"160","205610_at","MYOM1","8736"
"161","227178_at","CELF2","10659"
"163","243225_at","FGF14-AS2","283481"
"164","1553583_a_at","THRSP","7069"
"165","238613_at","MAP3K20","51776"
"166","242313_at","MAP4K3-DT","728730"
"167","205289_at","BMP2","650"
"169","209840_s_at","LRRN3","54674"
"171","202178_at","PRKCZ","5590"
"173","1559942_at","MDFIC","29969"
"174","210089_s_at","LAMA4","3910"
"175","221142_s_at","PECR","55825"
"176","209209_s_at","FERMT2","10979"
"177","227281_at","SLC29A4","222962"
"178","238752_at","GPLD1","2822"
"179","214434_at","HSPA12A","259217"
"181","220266_s_at","KLF4","9314"
"182","227333_at","DCUN1D3","123879"
"183","213181_s_at","MOCS1","4337"
"184","228411_at","PARD3B","117583"
"185","235737_at","TSLP","85480"
"186","237413_at","MAPK10","5602"
"187","226304_at","HSPB6","126393"
"188","200606_at","DSP","1832"
"189","222278_at","MYMX","101929726"
"190","205083_at","AOX1","316"
"191","210715_s_at","SPINT2","10653"
"193","228568_at","MYZAP","100820829"
"194","232204_at","EBF1","1879"
"195","219514_at","ANGPTL2","23452"
"199","205384_at","FXYD1","5348"
"200","209663_s_at","ITGA7","3679"
"206","207277_at","CD209","30835"
"207","219054_at","NPR3","4883"
"208","206243_at","TIMP4","7079"
"210","53991_at","DENND2A","27147"
"211","210678_s_at","AGPAT2","10555"
"212","236644_at","RNF180","285671"
"213","244885_at","EBF2","64641"
"214","227561_at","DDR2","4921"
"215","201866_s_at","NR3C1","2908"
"218","1552509_a_at","CD300LG","146894"
"219","1552724_at","RHOXF1","158800"
"220","243813_at","LINC00968","100507632"
"221","217546_at","MT1M","4499"
"222","204419_x_at","HBG2","3048"
"223","239942_at","GNG11","2791"
"224","204018_x_at","HBA1","3039"
"225","204018_x_at","HBA2","3040"
"226","221163_s_at","MLXIPL","51085"
"227","201035_s_at","HADH","3033"
